Palavra,Link,Instituicao
ADIAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adiarSm_Prog001.mp4,GoiásLibras · base nacional
ADICIONAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adicionar1Sm_Prog001.mp4,GoiásLibras · base nacional
ADICIONAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adicionar2Sm_Prog001.mp4,GoiásLibras · base nacional
ADIVINHAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adivinharSm_Prog001.mp4,GoiásLibras · base nacional
ADJETIVOS,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adjetivoSm_Prog001.mp4,GoiásLibras · base nacional
ADJUNTO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adjuntoSm_Prog001.mp4,GoiásLibras · base nacional
ADMINISTRAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/administrarSm_Prog001.mp4,GoiásLibras · base nacional
ADMINISTRAÇÃO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/administracaoSm_Prog001.mp4,GoiásLibras · base nacional
ADMIRADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/admiradoSm_Prog001.mp4,GoiásLibras · base nacional
ADMIRAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/admirarSm_Prog001.mp4,GoiásLibras · base nacional
ADMISSÃO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/admissaoSm_Prog001.mp4,GoiásLibras · base nacional
ADMITIR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/admitir1Sm_Prog001.mp4,GoiásLibras · base nacional
ADMITIR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/admitir2Sm_Prog001.mp4,GoiásLibras · base nacional
ADOECER,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adoecerSm_Prog001.mp4,GoiásLibras · base nacional
ADOIDAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adoidarSm_Prog001.mp4,GoiásLibras · base nacional
ADOLESCENTE1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adolescente1Sm_Prog001.mp4,GoiásLibras · base nacional
ADOLESCENTE2,https://dicionario.ines.gov.br/public/media/palavras/videos/adolescenteSm_Prog001.mp4,GoiásLibras · base nacional
ADORAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adorar1Sm_Prog001.mp4,GoiásLibras · base nacional
ADORAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adorar2Sm_Prog001.mp4,GoiásLibras · base nacional
ADORMECER,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adormecerSm_Prog001.mp4,GoiásLibras · base nacional
ADOTAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adotarSm_Prog001.mp4,GoiásLibras · base nacional
ADOTIVO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adotivoSm_Prog001.mp4,GoiásLibras · base nacional
ADOÇANTE,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adocanteSm_Prog001.mp4,GoiásLibras · base nacional
ADOÇAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adocarSm_Prog001.mp4,GoiásLibras · base nacional
ADULAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adularSm_Prog001.mp4,GoiásLibras · base nacional
ADULTO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adultoSm_Prog001.mp4,GoiásLibras · base nacional
ADULTÉRIO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adulterioSm_Prog001.mp4,GoiásLibras · base nacional
ADVENTISTA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/adventistaSm_Prog001.mp4,GoiásLibras · base nacional
ADVERSÁRIO,https://dicionario.ines.gov.br/public/media/palavras/videos/adversarioSm_Prog001.mp4,GoiásLibras · base nacional
ADVERTIR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/advertir1Sm_Prog001.mp4,GoiásLibras · base nacional
ADVERTIR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/advertir2Sm_Prog001.mp4,GoiásLibras · base nacional
ADVOGADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/advogadoSm_Prog001.mp4,GoiásLibras · base nacional
AEROBARCO1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aerobarco1Sm_Prog001.mp4,GoiásLibras · base nacional
AEROBARCO2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aerobarco2Sm_Prog001.mp4,GoiásLibras · base nacional
AEROMOÇA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aeromocaSm_Prog001.mp4,GoiásLibras · base nacional
AERONÁUTICA,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aeronauticaSm_Prog001.mp4,GoiásLibras · base nacional
AEROPORTO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aeroportoSm_Prog001.mp4,GoiásLibras · base nacional
AEROSSOL,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aerossolSm_Prog001.mp4,GoiásLibras · base nacional
AERÓSTATO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aerostatoSm_Prog001.mp4,GoiásLibras · base nacional
AFAMADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afamadoSm_Prog001.mp4,GoiásLibras · base nacional
AFASTADO1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afastado1Sm_Prog001.mp4,GoiásLibras · base nacional
AFASTADO2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afastado2Sm_Prog001.mp4,GoiásLibras · base nacional
AFASTAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afastar1Sm_Prog001.mp4,GoiásLibras · base nacional
AFASTAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afastar2Sm_Prog001.mp4,GoiásLibras · base nacional
AFEIÇÃO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afeicaoSm_Prog001.mp4,GoiásLibras · base nacional
AFERIR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aferir1Sm_Prog001.mp4,GoiásLibras · base nacional
AFERIR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aferir2Sm_Prog001.mp4,GoiásLibras · base nacional
AFETO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afetoSm_Prog001.mp4,GoiásLibras · base nacional
AFIADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afiadoSm_Prog001.mp4,GoiásLibras · base nacional
AFIAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afiarSm_Prog001.mp4,GoiásLibras · base nacional
AFILHADO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afilhadoSm_Prog001.mp4,GoiásLibras · base nacional
AFINIDADE,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afinidadeSm_Prog001.mp4,GoiásLibras · base nacional
AFIVELAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afivelarSm_Prog001.mp4,GoiásLibras · base nacional
AFIXAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afixarSm_Prog001.mp4,GoiásLibras · base nacional
AFLITO,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/aflitoSm_Prog001.mp4,GoiásLibras · base nacional
AFOCINHAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afocinharSm_Prog001.mp4,GoiásLibras · base nacional
AFOGAR1,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afogar1Sm_Prog001.mp4,GoiásLibras · base nacional
AFOGAR2,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afogar2Sm_Prog001.mp4,GoiásLibras · base nacional
AFROUXAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afrouxarSm_Prog001.mp4,GoiásLibras · base nacional
AFUNDAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/afundarSm_Prog001.mp4,GoiásLibras · base nacional
AGACHAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/agacharSm_Prog001.mp4,GoiásLibras · base nacional
AGARRAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/agarrarSm_Prog001.mp4,GoiásLibras · base nacional
AGASALHAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/agasalharSm_Prog001.mp4,GoiásLibras · base nacional
AGENDAR,https://goiaslibras.educacao.go.gov.br/api/media/ines/palavras/videos/agendarSm_Prog001.mp4,GoiásLibras · base nacional
